"","Site","richness","area","source.diversity.trt","species.richness.trt"
"1","Barn N",6.8,1,"Southern","Low"
"2","Barn N",3.8,1,"Southern","High"
"3","Barn South",6.2,1,"High","Low"
"4","Barn South",5,1,"High","High"
"5","Duck Lake",14.6,1,"Midwest","High"
"6","Duck Lake",12.2,1,"Midwest","Low"
"7","Field Lab",11.8,1,"Local","High"
"8","Field Lab",6.6,1,"Local","Low"
"9","No Till",11.2,1,"Southern","High"
"10","No Till",10.2,1,"Southern","Low"
"11","Pothole",19.6,1,"High","High"
"12","Pothole",9.6,1,"High","Low"
"13","Reed Canary",11.2,1,"High","High"
"14","Reed Canary",10,1,"High","Low"
"15","Soil Pit",10.4,1,"Midwest","High"
"16","Soil Pit",14.4,1,"Midwest","Low"
"17","Spruce Lodge",5.2,1,"High","Low"
"18","Spruce Lodge",7.2,1,"High","High"
"19","Succession",17,1,"Local","High"
"20","Succession",11.6,1,"Local","Low"
"21","Water Tower",12.6,1,"High","Low"
"22","Water Tower",10.4,1,"High","High"
"23","Wetland",4.8,1,"High","High"
"24","Wetland",11.2,1,"High","Low"
"25","Barn N",13,5,"Southern","Low"
"26","Barn N",14.4,5,"Southern","High"
"27","Barn South",17.6,5,"High","Low"
"28","Barn South",13.6,5,"High","High"
"29","Duck Lake",35.4,5,"Midwest","High"
"30","Duck Lake",27.2,5,"Midwest","Low"
"31","Field Lab",30.2,5,"Local","High"
"32","Field Lab",12,5,"Local","Low"
"33","No Till",22.6,5,"Southern","High"
"34","No Till",22,5,"Southern","Low"
"35","Pothole",37.8,5,"High","High"
"36","Pothole",21.6,5,"High","Low"
"37","Reed Canary",36,5,"High","High"
"38","Reed Canary",18.4,5,"High","Low"
"39","Soil Pit",24,5,"Midwest","High"
"40","Soil Pit",26.4,5,"Midwest","Low"
"41","Spruce Lodge",15.8,5,"High","Low"
"42","Spruce Lodge",21.6,5,"High","High"
"43","Succession",38.6,5,"Local","High"
"44","Succession",25.8,5,"Local","Low"
"45","Water Tower",23.8,5,"High","Low"
"46","Water Tower",24,5,"High","High"
"47","Wetland",12.4,5,"High","High"
"48","Wetland",22,5,"High","Low"
"49","Barn N",31,25,"Southern","Low"
"50","Barn N",27,25,"Southern","High"
"51","Barn South",34,25,"High","Low"
"52","Barn South",32,25,"High","High"
"53","Duck Lake",68,25,"Midwest","High"
"54","Duck Lake",54,25,"Midwest","Low"
"55","Field Lab",63,25,"Local","High"
"56","Field Lab",25,25,"Local","Low"
"57","No Till",43,25,"Southern","High"
"58","No Till",43,25,"Southern","Low"
"59","Pothole",62,25,"High","High"
"60","Pothole",45,25,"High","Low"
"61","Reed Canary",73,25,"High","High"
"62","Reed Canary",40,25,"High","Low"
"63","Soil Pit",46,25,"Midwest","High"
"64","Soil Pit",47,25,"Midwest","Low"
"65","Spruce Lodge",35,25,"High","Low"
"66","Spruce Lodge",45,25,"High","High"
"67","Succession",80,25,"Local","High"
"68","Succession",56,25,"Local","Low"
"69","Water Tower",42,25,"High","Low"
"70","Water Tower",47,25,"High","High"
"71","Wetland",27,25,"High","High"
"72","Wetland",43,25,"High","Low"
"73","Barn N",57,2752,"Southern","Low"
"74","Barn N",83,2752,"Southern","High"
"75","Barn South",61,1538,"High","Low"
"76","Barn South",66,1376,"High","High"
"77","Duck Lake",130,4047,"Midwest","High"
"78","Duck Lake",83,1619,"Midwest","Low"
"79","Field Lab",113,5706,"Local","High"
"80","Field Lab",54,5908,"Local","Low"
"81","No Till",89,10927,"Southern","High"
"82","No Till",75,10643,"Southern","Low"
"83","Pothole",98,5180,"High","High"
"84","Pothole",84,4452,"High","Low"
"85","Reed Canary",106,2428,"High","High"
"86","Reed Canary",67,2428,"High","Low"
"87","Soil Pit",79,2833,"Midwest","High"
"88","Soil Pit",70,4087,"Midwest","Low"
"89","Spruce Lodge",59,2469,"High","Low"
"90","Spruce Lodge",70,2023,"High","High"
"91","Succession",117,2509,"Local","High"
"92","Succession",89,2266,"Local","Low"
"93","Water Tower",54,890,"High","Low"
"94","Water Tower",79,809,"High","High"
"95","Wetland",61,4856,"High","High"
"96","Wetland",77,2833,"High","Low"
