"","Site","richness.nonseeded.nocx","area","source.diversity.trt","species.richness.trt"
"1","Barn N",5.4,1,"Southern","Low"
"2","Barn N",3.4,1,"Southern","High"
"3","Barn South",4.4,1,"High","Low"
"4","Barn South",4.2,1,"High","High"
"5","Duck Lake",8.6,1,"Midwest","High"
"6","Duck Lake",6.8,1,"Midwest","Low"
"7","Field Lab",6.2,1,"Local","High"
"8","Field Lab",5.4,1,"Local","Low"
"9","No Till",9.8,1,"Southern","High"
"10","No Till",9,1,"Southern","Low"
"11","Pothole",12.6,1,"High","High"
"12","Pothole",5.2,1,"High","Low"
"13","Reed Canary",8.8,1,"High","High"
"14","Reed Canary",8.2,1,"High","Low"
"15","Soil Pit",9,1,"Midwest","High"
"16","Soil Pit",11.4,1,"Midwest","Low"
"17","Spruce Lodge",5.2,1,"High","Low"
"18","Spruce Lodge",7,1,"High","High"
"19","Succession",10.6,1,"Local","High"
"20","Succession",8.8,1,"Local","Low"
"21","Water Tower",11,1,"High","Low"
"22","Water Tower",9,1,"High","High"
"23","Wetland",4.4,1,"High","High"
"24","Wetland",7.8,1,"High","Low"
"25","Barn N",10.2,5,"Southern","Low"
"26","Barn N",8.6,5,"Southern","High"
"27","Barn South",12.6,5,"High","Low"
"28","Barn South",8.4,5,"High","High"
"29","Duck Lake",19.2,5,"Midwest","High"
"30","Duck Lake",18.6,5,"Midwest","Low"
"31","Field Lab",15.4,5,"Local","High"
"32","Field Lab",8.8,5,"Local","Low"
"33","No Till",19,5,"Southern","High"
"34","No Till",18.8,5,"Southern","Low"
"35","Pothole",20.4,5,"High","High"
"36","Pothole",12.2,5,"High","Low"
"37","Reed Canary",22.6,5,"High","High"
"38","Reed Canary",14.8,5,"High","Low"
"39","Soil Pit",18,5,"Midwest","High"
"40","Soil Pit",19.6,5,"Midwest","Low"
"41","Spruce Lodge",13.8,5,"High","Low"
"42","Spruce Lodge",18.2,5,"High","High"
"43","Succession",23.6,5,"Local","High"
"44","Succession",20.8,5,"Local","Low"
"45","Water Tower",20.4,5,"High","Low"
"46","Water Tower",17.2,5,"High","High"
"47","Wetland",9.4,5,"High","High"
"48","Wetland",17.6,5,"High","Low"
"49","Barn N",26,25,"Southern","Low"
"50","Barn N",17,25,"Southern","High"
"51","Barn South",25,25,"High","Low"
"52","Barn South",19,25,"High","High"
"53","Duck Lake",39,25,"Midwest","High"
"54","Duck Lake",40,25,"Midwest","Low"
"55","Field Lab",33,25,"Local","High"
"56","Field Lab",20,25,"Local","Low"
"57","No Till",35,25,"Southern","High"
"58","No Till",37,25,"Southern","Low"
"59","Pothole",35,25,"High","High"
"60","Pothole",32,25,"High","Low"
"61","Reed Canary",47,25,"High","High"
"62","Reed Canary",33,25,"High","Low"
"63","Soil Pit",34,25,"Midwest","High"
"64","Soil Pit",36,25,"Midwest","Low"
"65","Spruce Lodge",30,25,"High","Low"
"66","Spruce Lodge",35,25,"High","High"
"67","Succession",52,25,"Local","High"
"68","Succession",47,25,"Local","Low"
"69","Water Tower",37,25,"High","Low"
"70","Water Tower",33,25,"High","High"
"71","Wetland",21,25,"High","High"
"72","Wetland",36,25,"High","Low"
"73","Barn N",46,2752,"Southern","Low"
"74","Barn N",53,2752,"Southern","High"
"75","Barn South",49,1538,"High","Low"
"76","Barn South",45,1376,"High","High"
"77","Duck Lake",88,4047,"Midwest","High"
"78","Duck Lake",65,1619,"Midwest","Low"
"79","Field Lab",71,5706,"Local","High"
"80","Field Lab",48,5908,"Local","Low"
"81","No Till",67,10927,"Southern","High"
"82","No Till",64,10643,"Southern","Low"
"83","Pothole",61,5180,"High","High"
"84","Pothole",67,4452,"High","Low"
"85","Reed Canary",71,2428,"High","High"
"86","Reed Canary",57,2428,"High","Low"
"87","Soil Pit",47,2833,"Midwest","High"
"88","Soil Pit",57,4087,"Midwest","Low"
"89","Spruce Lodge",53,2469,"High","Low"
"90","Spruce Lodge",50,2023,"High","High"
"91","Succession",84,2509,"Local","High"
"92","Succession",73,2266,"Local","Low"
"93","Water Tower",46,890,"High","Low"
"94","Water Tower",56,809,"High","High"
"95","Wetland",46,4856,"High","High"
"96","Wetland",69,2833,"High","Low"
