"","Site","Plot","richness","area","source.diversity.trt","species.richness.trt"
"1","Barn N","Plot1",5,1,"Southern","Low"
"2","Barn N","Plot1",2,1,"Southern","High"
"3","Barn South","Plot1",6,1,"High","Low"
"4","Barn South","Plot1",7,1,"High","High"
"5","Duck Lake","Plot1",10,1,"Midwest","High"
"6","Duck Lake","Plot1",13,1,"Midwest","Low"
"7","Field Lab","Plot1",6,1,"Local","High"
"8","Field Lab","Plot1",6,1,"Local","Low"
"9","No Till","Plot1",14,1,"Southern","High"
"10","No Till","Plot1",11,1,"Southern","Low"
"11","Pothole","Plot1",12,1,"High","High"
"12","Pothole","Plot1",6,1,"High","Low"
"13","Reed Canary","Plot1",5,1,"High","High"
"14","Reed Canary","Plot1",3,1,"High","Low"
"15","Soil Pit","Plot1",8,1,"Midwest","High"
"16","Soil Pit","Plot1",11,1,"Midwest","Low"
"17","Spruce Lodge","Plot1",4,1,"High","Low"
"18","Spruce Lodge","Plot1",8,1,"High","High"
"19","Succession","Plot1",8,1,"Local","High"
"20","Succession","Plot1",7,1,"Local","Low"
"21","Water Tower","Plot1",11,1,"High","Low"
"22","Water Tower","Plot1",8,1,"High","High"
"23","Wetland","Plot1",4,1,"High","High"
"24","Wetland","Plot1",5,1,"High","Low"
"25","Barn N","Plot2",6,1,"Southern","Low"
"26","Barn N","Plot2",4,1,"Southern","High"
"27","Barn South","Plot2",5,1,"High","Low"
"28","Barn South","Plot2",5,1,"High","High"
"29","Duck Lake","Plot2",7,1,"Midwest","High"
"30","Duck Lake","Plot2",7,1,"Midwest","Low"
"31","Field Lab","Plot2",7,1,"Local","High"
"32","Field Lab","Plot2",8,1,"Local","Low"
"33","No Till","Plot2",9,1,"Southern","High"
"34","No Till","Plot2",12,1,"Southern","Low"
"35","Pothole","Plot2",9,1,"High","High"
"36","Pothole","Plot2",5,1,"High","Low"
"37","Reed Canary","Plot2",5,1,"High","High"
"38","Reed Canary","Plot2",10,1,"High","Low"
"39","Soil Pit","Plot2",8,1,"Midwest","High"
"40","Soil Pit","Plot2",15,1,"Midwest","Low"
"41","Spruce Lodge","Plot2",5,1,"High","Low"
"42","Spruce Lodge","Plot2",5,1,"High","High"
"43","Succession","Plot2",12,1,"Local","High"
"44","Succession","Plot2",6,1,"Local","Low"
"45","Water Tower","Plot2",12,1,"High","Low"
"46","Water Tower","Plot2",14,1,"High","High"
"47","Wetland","Plot2",9,1,"High","High"
"48","Wetland","Plot2",7,1,"High","Low"
"49","Barn N","Plot3",5,1,"Southern","Low"
"50","Barn N","Plot3",5,1,"Southern","High"
"51","Barn South","Plot3",4,1,"High","Low"
"52","Barn South","Plot3",4,1,"High","High"
"53","Duck Lake","Plot3",5,1,"Midwest","High"
"54","Duck Lake","Plot3",2,1,"Midwest","Low"
