"","X","Site","Plot","richness","area","source.diversity.trt","species.richness.trt"
"1",1,"Barn N","Plot1",2,1,"Southern","Low"
"2",24,"Barn N","Plot2",0,1,"Southern","Low"
"3",47,"Barn N","Plot3",1,1,"Southern","Low"
"4",70,"Barn N","Plot4",2,1,"Southern","Low"
"5",93,"Barn N","Plot5",2,1,"Southern","Low"
"6",231,"Barn N","Plot1",4,25,"Southern","Low"
"7",254,"Barn N","Plot2",4,25,"Southern","Low"
"8",277,"Barn N","Plot3",4,25,"Southern","Low"
"9",300,"Barn N","Plot4",4,25,"Southern","Low"
"10",323,"Barn N","Plot5",4,25,"Southern","Low"
"11",116,"Barn N","Plot1",2,5,"Southern","Low"
"12",139,"Barn N","Plot2",2,5,"Southern","Low"
"13",162,"Barn N","Plot3",4,5,"Southern","Low"
"14",185,"Barn N","Plot4",2,5,"Southern","Low"
"15",208,"Barn N","Plot5",3,5,"Southern","Low"
"16",346,"Barn N","Plot1",8,2752,"Southern","Low"
"17",369,"Barn N","Plot2",8,2752,"Southern","Low"
"18",392,"Barn N","Plot3",8,2752,"Southern","Low"
"19",415,"Barn N","Plot4",8,2752,"Southern","Low"
"20",438,"Barn N","Plot5",8,2752,"Southern","Low"
"21",2,"Barn N","Plot1",1,1,"Southern","High"
"22",25,"Barn N","Plot2",0,1,"Southern","High"
"23",48,"Barn N","Plot3",1,1,"Southern","High"
"24",71,"Barn N","Plot4",0,1,"Southern","High"
"25",94,"Barn N","Plot5",0,1,"Southern","High"
"26",232,"Barn N","Plot1",10,25,"Southern","High"
"27",255,"Barn N","Plot2",10,25,"Southern","High"
"28",278,"Barn N","Plot3",10,25,"Southern","High"
"29",301,"Barn N","Plot4",10,25,"Southern","High"
"30",324,"Barn N","Plot5",10,25,"Southern","High"
"31",117,"Barn N","Plot1",8,5,"Southern","High"
"32",140,"Barn N","Plot2",4,5,"Southern","High"
"33",163,"Barn N","Plot3",6,5,"Southern","High"
"34",186,"Barn N","Plot4",7,5,"Southern","High"
"35",209,"Barn N","Plot5",4,5,"Southern","High"
"36",347,"Barn N","Plot1",31,2752,"Southern","High"
"37",370,"Barn N","Plot2",31,2752,"Southern","High"
"38",393,"Barn N","Plot3",31,2752,"Southern","High"
"39",416,"Barn N","Plot4",31,2752,"Southern","High"
"40",439,"Barn N","Plot5",31,2752,"Southern","High"
"41",3,"Barn South","Plot1",1,1,"High","Low"
"42",26,"Barn South","Plot2",1,1,"High","Low"
"43",49,"Barn South","Plot3",3,1,"High","Low"
"44",72,"Barn South","Plot4",0,1,"High","Low"
"45",95,"Barn South","Plot5",3,1,"High","Low"
"46",233,"Barn South","Plot1",7,25,"High","Low"
"47",256,"Barn South","Plot2",7,25,"High","Low"
"48",279,"Barn South","Plot3",7,25,"High","Low"
"49",302,"Barn South","Plot4",7,25,"High","Low"
"50",325,"Barn South","Plot5",7,25,"High","Low"
"51",118,"Barn South","Plot1",4,5,"High","Low"
"52",141,"Barn South","Plot2",5,5,"High","Low"
