"","Site","Half","Scale","Species","Plot1","Plot2","Plot3","Plot4","Plot5"
"1","Barn N","E","5","ERIGEN",0,"1","1","0","0"
"2","Barn N","E","Half Site","POPGEN",1,".",".",".","."
"3","Barn N","E","5","PRUMAL",0,"0","0","1","0"
"4","Barn N","E","1","PERHYD",0,"1","0","0","0"
"5","Barn N","E","5","VERGEN",0,"0","1","0","0"
"6","Barn N","E","1","ACHMIL",0,"0","0","8","0"
"7","Barn N","E","5","AMBART",0,"0","1","1","0"
"8","Barn N","E","5","ANDGER",0,"0","1","0","1"
"9","Barn N","E","5","ARCMIN",0,"0","1","0","0"
"10","Barn N","E","5","ASCSYR",0,"1","0","0","0"
"11","Barn N","E","Half Site","BOUCUR",1,".",".",".","."
"12","Barn N","E","Half Site","BROINE",1,".",".",".","."
"13","Barn N","E","Half Site","BROJAP",1,".",".",".","."
"14","Barn N","E","1","CIRARV",3,"70","4","4","4"
"15","Barn N","E","1","CIRVUL",0,"0","0","2","0"
"16","Barn N","E","Half Site","CONCAN",1,".",".",".","."
"17","Barn N","E","Half Site","CORLAN",1,".",".",".","."
"18","Barn N","E","5","DACGLO",0,"0","0","0","1"
"19","Barn N","E","Half Site","DAUCAR",1,".",".",".","."
"20","Barn N","E","1","ECHPUR",2,"0","10","6","1"
"21","Barn N","E","5","ECHPUR",0,"1","0","0","0"
"22","Barn N","E","5","ELYCAN",0,"0","1","0","0"
"23","Barn N","E","1","ELYREP",30,"15","60","80","60"
"24","Barn N","E","1","EUTGRA",0,"0","0","10","0"
"25","Barn N","E","5","EUTGRA",1,"1","0","0","0"
"26","Barn N","E","Half Site","GENGAU",1,".",".",".","."
"27","Barn N","E","Half Site","HYPPER",1,".",".",".","."
"28","Barn N","E","Half Site","JUGNIG",1,".",".",".","."
"29","Barn N","E","Half Site","LACSER",1,".",".",".","."
"30","Barn N","E","1","LOTCOR",7,"2","0","5","0"
"31","Barn N","E","5","LOTCOR",0,"0","1","0","0"
"32","Barn N","E","Half Site","MONFIS",1,".",".",".","."
"33","Barn N","E","1","MORALB",0,"0","6","0","0"
"34","Barn N","E","Half Site","OXASTR",1,".",".",".","."
"35","Barn N","E","Half Site","PANVIR",1,".",".",".","."
"36","Barn N","E","1","PHAARU",25,"0","0","0","0"
"37","Barn N","E","1","PHLPRA",0,"0","0","0","5"
"38","Barn N","E","5","PHYAME",1,"0","0","1","0"
"39","Barn N","E","1","PHYAME",0,"25","3","0","0"
"40","Barn N","E","Half Site","PLALAN",1,".",".",".","."
"41","Barn N","E","Half Site","POAPRA",1,".",".",".","."
"42","Barn N","E","Half Site","POTREC",1,".",".",".","."
"43","Barn N","E","5","PRUSER",0,"0","1","0","0"
"44","Barn N","E","1","RATPIN",4,"0","0","3","25"
"45","Barn N","E","5","RATPIN",0,"1","1","0","0"
"46","Barn N","E","Half Site","RUBOCC",1,".",".",".","."
"47","Barn N","E","Half Site","RUDHIR",1,".",".",".","."
"48","Barn N","E","5","RUMCRI",0,"1","1","0","1"
"49","Barn N","E","Half Site","SCHSCO",1,".",".",".","."
"50","Barn N","E","Half Site","SILLAT",1,".",".",".","."
"51","Barn N","E","5","SIMPIL",1,"0","0","0","0"
"52","Barn N","E","1","SOLCAN",15,"5","8","0","0"
"53","Barn N","E","1","SOLCAR",0,"0","0","0","8"
"54","Barn N","E","5","SOLCAR",0,"0","0","1","0"
"55","Barn N","E","Half Site","OLIRIG",1,".",".",".","."
"56","Barn N","E","Half Site","SORNUT",1,".",".",".","."
"57","Barn N","E","5","SYMNOV",0,"0","1","0","0"
"58","Barn N","E","1","SYMPIL",0,"0","0","2","0"
"59","Barn N","E","5","SYMPIL",0,"0","1","0","0"
