seed.diversity,species,functional.group,focal,oz.A,lb.A,seeds.m2,Note
Low,Andropogon gerardii,C4,YES,18,1.13,44.45,
Low,Bouteloua curtipendula,C4,YES,30,1.88,44.45,
Low,Elymus canadensis,C3,YES,38,2.38,48.87,
Low,Koeleria macrantha,C3,YES,1,0.06,49.41,
Low,Schizachyrium scoparium,C4,YES,12,0.75,44.45,
Low,Chamaecrista fasciculata,legume,YES,16,1.00,10.66,
Low,Coreopsis lanceolata,forb,YES,3.3,0.21,16.36,
Low,Dalea purpurea,legume,NO,3,0.19,13.35,
Low,Echinacea purpurea,forb,YES,10,0.63,16.36,
Low,Lespedeza capitata,legume,YES,7,0.44,13.89,
Low,Ratibida pinnata,forb,YES,2.2,0.14,16.36,
Low,Rudbeckia hirta,forb,YES,0.5,0.03,11.41,
High,Andropogon gerardii,C4,YES,9,0.56,22.28,
High,Bouteloua curtipendula,C4,YES,15,0.94,22.28,
High,Bromus kalmii,C3,NO,8,0.50,15.82,
High,Carex bicknellii,C3,NO,1,0.06,4.20,
High,Carex brevior,C3,NO,1,0.06,7.21,
High,Carex granularis,C3,NO,0.5,0.03,1.94,
High,Carex molesta,C3,NO,1,0.06,6.14,
High,Carex muhlenbergii,C3,NO,0.5,0.03,1.51,
High,Carex normalis,C3,NO,0.5,0.03,3.12,
High,Carex vulpinoidea,C3,NO,1,0.06,24.76,
High,Elymus canadensis,C3,YES,19,1.19,24.43,
High,Elymus trachycaulus,C3,NO,6,0.38,10.23,
High,Elymus virginicus,C3,NO,6,0.38,6.24,
High,Koeleria macrantha,C3,YES,0.5,0.03,24.76,
High,Panicum virgatum,C4,NO,4,0.25,13.89,
High,Schizachyrium scoparium,C4,YES,6,0.38,22.28,
High,Sorghastrum nutans,C4,NO,14,0.88,41.55,
High,Spartina pectinata,C4,NO,3,0.19,4.84,
High,Sporobolus cryptandrus,C3,NO,1,0.06,49.41,
High,Sprobolus heterolepis,C4,NO,2,0.13,7.86,
High,Agastache foeniculum,forb,NO,0.1,0.10,0.10,unknown
High,Agastache nepetoides,forb,NO,0.25,0.02,5.60,
High,Allium cernuum,forb,NO,1,0.06,1.83,
High,Aquilegia canadensis,forb,NO,0.25,0.02,2.37,
High,Arnoglossum atriplicifolium,forb,NO,1,0.06,1.51,
High,Asclepias tuberosa,forb,NO,1,0.06,1.08,
High,Asclepias verticillata,forb,NO,0.5,0.03,1.40,
High,Astragalus canadensis,legume,NO,1,0.06,4.20,
High,Baptisia lactea,legume,NO,2,0.13,0.86,
High,Chamaecrista fasciculata,legume,YES,3.2,0.20,2.15,
High,Coreopsis lanceolata,forb,YES,0.66,0.04,3.23,
High,Coreopsis tripteris,forb,NO,0.5,0.03,1.72,
High,Dalea purpurea,legume,NO,0.6,0.04,2.69,
High,Desmanthus illinoensis,legume,NO,0.5,0.03,0.54,
High,Desmodium canadense,legume,NO,0.6,0.06,0.86,
High,Desmodium illinoense,legume,NO,0.5,0.03,0.54,
High,Potentila arguta (Drymocallis arguta),forb,NO,0.25,0.02,14.21,
High,Echinacea purpurea,forb,YES,2,0.13,3.23,
High,Eryngium yuccifolium,forb,NO,2,0.13,3.66,
High,Gaura biennis,forb,NO,2,0.13,1.29,
High,Helianthus occidentalis,forb,NO,0.5,0.03,1.72,
High,Heliopsis helianthoides,forb,NO,1,0.06,1.51,
High,Lespedeza capitata,legume,YES,1.4,0.09,2.80,
High,Liatris aspera,forb,NO,0.5,0.03,1.94,
High,Liatris cylindracea,forb,NO,0.5,0.03,1.72,
High,Lupinus perennis,forb,NO,2,0.13,0.54,
High,Monarda punctata,forb,NO,0.25,0.02,5.60,
High,Parthenium integrifolium,forb,NO,0.5,0.03,0.86,
High,Penstemon digitalis,forb,NO,0.25,0.02,8.07,
High,Penstemon hirsutus,forb,NO,0.25,0.02,7.75,not seeded?
High,Pycnanthemum tenuifolium,forb,NO,0.25,0.02,23.36,
High,Ratibida pinnata,forb,YES,0.44,0.03,3.23,
High,Rudbeckia hirta,forb,YES,0.1,0.01,2.26,
High,Rudbeckia triloba,forb,NO,0.5,0.03,4.20,
High,Senna hebecarpa,legume,NO,2,0.13,0.65,
High,Silphium integrifolium,forb,NO,2,0.13,0.65,
High,Silphium laciniatum,forb,NO,2,0.13,0.32,
High,Silphium terebinthinaceum,forb,NO,1,0.06,0.22,
High,Oligoneuron rigidum (Solidago rigida),forb,NO,0.25,0.02,2.58,
High,Solidago speciosa,forb,NO,0.25,0.02,5.92,
High,Symphyotrichum ericoides,forb,NO,0.25,0.02,12.38,
High,Symphyotrichum laeve,forb,NO,1,0.06,13.56,
High,Symphyotrichum novae-angliae,forb,NO,0.25,0.02,4.09,
High,Symphyotrichum oolentangiense,forb,NO,0.5,0.03,9.90,
High,Tephrosia virginiana,legume,NO,1,0.06,0.65,
High,Thaspium trifoliatum,forb,NO,1,0.06,2.26,
High,Tradescantia ohiensis,forb,NO,0.5,0.03,0.97,
High,Verbena stricta,forb,NO,0.5,0.03,3.44,
High,Vernonia fasciculata,forb,NO,0.5,0.03,3.01,
High,Veronicastrum virginicum,forb,NO,0.25,0.02,49.41,
High,Zizia aurea,forb,NO,0.5,0.03,1.40,
