genus.species,Species,high.rich.trt,low.rich.trt,high.no.cxgen
Andropogon gerardii,ANDGER,yes,yes,yes
Bouteloua curtipendula,BOUCUR,yes,yes,yes
Bromus kalmii,BROKAL,yes,no,yes
Carex bicknellii,CXBICK,yes,no,yes
Carex brevior,CXBREV,yes,no,yes
Carex granularis,CXGRAN,yes,no,yes
Carex molesta,CXMOLE,yes,no,yes
Carex muhlenbergii,CXMUHL,yes,no,yes
Carex normalis,CXNORM,yes,no,yes
Carex vulpinoidea,CXVULP,yes,no,yes
Elymus canadensis,ELYCAN,yes,yes,yes
Elymus trachycaulus,ELYTRA,yes,no,yes
Elymus virginicus,ELYVIR,yes,no,yes
Koeleria macrantha,KOEMAC,yes,yes,yes
Panicum virgatum,PANVIR,yes,no,yes
Schizachyrium scoparium,SCHSCO,yes,yes,yes
Sorghastrum nutans,SORNUT,yes,no,yes
Spartina pectinata,SPAPEC,yes,no,yes
Sporobolus cryptandrus,SPOCRY,yes,no,yes
Sprobolus heterolepis,SPRHET,yes,no,yes
Agastache foeniculum,AGAFOE,yes,no,yes
Agastache nepetoides,AGANEP,yes,no,yes
Allium cernuum,ALLCER,yes,no,yes
Aquilegia canadensis,AQUCAN,yes,no,yes
Arnoglossum atriplicifolium,ARNATR,yes,no,yes
Asclepias tuberosa,ASCTUB,yes,no,yes
Asclepias verticillata,ASCVER,yes,no,yes
Astragalus canadensis,ASTCAN,yes,no,yes
Baptisia lactea,BAPLAC,yes,no,yes
Chamaecrista fasciculata,CHAFAS,yes,yes,yes
Coreopsis lanceolata,CORLAN,yes,yes,yes
Coreopsis tripteris,CORTRI,yes,no,yes
Dalea purpurea,DALPUR,yes,yes,yes
Desmanthus illinoensis,DESILL,yes,no,yes
Desmodium canadense,DESCAN,yes,no,yes
Desmodium illinoense,DESILL,yes,no,yes
Potentila arguta (Drymocallis arguta),DRYARG,yes,no,yes
Echinacea purpurea,ECHPUR,yes,yes,yes
Eryngium yuccifolium,ERYYUC,yes,no,yes
Gaura biennis,GAUBIE,yes,no,yes
Helianthus occidentalis,HELOCC,yes,no,yes
Heliopsis helianthoides,HELHEL,yes,no,yes
Lespedeza capitata,LESCAP,yes,yes,yes
Liatris aspera,LIAASP,yes,no,yes
Liatris cylindracea,LIACYL,yes,no,yes
Lupinus perennis,LUPPER,yes,no,yes
Monarda punctata,MONPUN,yes,no,yes
Parthenium integrifolium,PARINT,yes,no,yes
Penstemon digitalis,PENDIG,yes,no,yes
Penstemon hirsutus,PENHIR,yes,no,yes
Pycnanthemum tenuifolium,PYCTEN,yes,no,yes
Ratibida pinnata,RATPIN,yes,yes,yes
Rudbeckia hirta,RUDHIR,yes,yes,yes
Rudbeckia triloba,RUDTRI,yes,no,yes
Senna hebecarpa,SENHEB,yes,no,yes
Silphium integrifolium,SILINT,yes,no,yes
Silphium laciniatum,SILLAC,yes,no,yes
Silphium terebinthinaceum,SILTER,yes,no,yes
Oligoneuron rigidum (Solidago rigida),SOLRIG,yes,no,yes
Solidago speciosa,SOLSPEC,yes,no,yes
Symphyotrichum ericoides,SYMERI,yes,no,yes
Symphyotrichum laeve,SYMLAE,yes,no,yes
Symphyotrichum novae-angliae,SYMNOV,yes,no,yes
Symphyotrichum oolentangiense,SYMOOL,yes,no,yes
Tephrosia virginiana,TEPVIR,yes,no,yes
Thaspium trifoliatum,THATRI,yes,no,yes
Tradescantia ohiensis,TRAOHI,yes,no,yes
Verbena stricta,VERSTR,yes,no,yes
Vernonia fasciculata,VERFAS,yes,no,yes
Veronicastrum virginicum,VERVIR,yes,no,yes
Zizia aurea,ZIZAUR,yes,no,yes
Carex sp.1,CXGEN1,yes,no,no
Carex sp.2,CXGEN2,yes,no,no
Carex sp.3,CXGEN3,yes,no,no
Carex sp.4,CXGEN4,yes,no,no
Carex sp.5,CXGEN5,yes,no,no
