date,Site,Half,Plot1,Plot2,Plot3,Plot4,Plot5
5/19/2016,Barn N,E,24.5,26.1,23.5,13.4,34.9
5/25/2016,Barn N,E,13.1,9.7,9,12.5,16.1
6/2/2016,Barn N,E,12,9.7,9.1,6.5,16.2
6/9/2016,Barn N,E,8.2,5.4,6.5,8,13.9
6/24/2016,Barn N,E,10.6,1.4,1.4,7.2,19.9
6/28/2016,Barn N,E,3.2,3.2,6.1,5.8,10.8
7/7/2016,Barn N,E,2.1,4.2,4.2,3.6,10.4
7/21/2016,Barn N,E,15.8,16.8,14.4,19,47.2
8/10/2016,Barn N,E,8.2,9.6,9.3,9.2,15.8
5/19/2016,Barn N,W,22.4,21.9,15.7,10.2,13.1
5/25/2016,Barn N,W,13.9,8.6,6.3,6.1,12.5
6/2/2016,Barn N,W,10.5,11.8,8.5,9.1,8.7
6/9/2016,Barn N,W,11.9,6.6,8.2,3.8,5.4
6/24/2016,Barn N,W,8.1,7.5,5.7,2.5,5.2
6/28/2016,Barn N,W,4.1,1.7,2.3,0,0
7/7/2016,Barn N,W,6.1,3.2,3.8,0.2,1.3
7/21/2016,Barn N,W,15.7,14.8,20,15.1,9.9
8/10/2016,Barn N,W,8.2,5.4,5.1,5.2,3.6
5/19/2016,Barn South,E,14.9,17.8,19.6,25.2,25.2
5/25/2016,Barn South,E,14.1,10.6,8.4,10.1,10.8
6/2/2016,Barn South,E,5.1,8.4,6.6,7.9,9.7
6/9/2016,Barn South,E,7.4,6.4,6.7,6.1,10.3
6/24/2016,Barn South,E,4.3,7.1,4.3,3.6,7.4
6/28/2016,Barn South,E,0.1,1.2,1.5,0,0.6
7/7/2016,Barn South,E,0.4,1.7,2.1,0.1,2.8
7/21/2016,Barn South,E,14.1,12.7,11.5,14.2,10.1
8/10/2016,Barn South,E,4.6,5.9,4.8,6.9,5.5
5/19/2016,Barn South,W,20.5,12.2,21.8,19,20.7
5/25/2016,Barn South,W,6.7,7.9,7.6,9.9,8.4
6/2/2016,Barn South,W,10.3,9.1,8.4,13.8,8.1
6/9/2016,Barn South,W,6.8,9,3.8,10.4,7.5
6/24/2016,Barn South,W,6.8,3.2,7.7,11.9,5.8
6/28/2016,Barn South,W,0.1,0.9,4,6.2,4.6
7/7/2016,Barn South,W,4.7,1.9,2.8,5.8,3.7
7/21/2016,Barn South,W,19.8,11.6,16.8,13.2,11.4
8/10/2016,Barn South,W,4.7,6.6,6.6,6.7,8.3
5/19/2016,Duck Lake,E,25.1,24.9,26.6,20.6,33.9
5/25/2016,Duck Lake,E,15.1,14.9,17.5,14.5,18.8
6/2/2016,Duck Lake,E,15.7,11.7,16.4,14.2,10.8
6/9/2016,Duck Lake,E,7.7,7.9,8.7,8.6,14
6/24/2016,Duck Lake,E,8,7.8,5.9,5.9,9.8
6/28/2016,Duck Lake,E,4.6,1.5,1.3,1.6,3.1
